Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65
Yell_July18_Site1J_S99_R1_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00687836753410524)	(35, 0.011463945890175398)	(40, 0.011463945890175398)	(45, 0.011463945890175398)	(50, 0.01375673506821048)	(55, 0.07566204287515763)	(60, 0.229278917803508)	(65, 0.24762123122778862)	(70, 0.2613779662959991)	(75, 0.3072337498567007)	(80, 0.32099048492491117)	(85, 0.32099048492491117)	(90, 0.32099048492491117)	(95, 0.3255760632809813)	(100, 0.33704000917115673)	(105, 0.34391837670526193)	(110, 0.36684626848561275)	(115, 0.4241659979364898)	(120, 0.4700217814971913)	(125, 0.4700217814971913)	(130, 0.49524246245557724)	(135, 0.5571477702625244)	(140, 0.6007107646451908)	(145, 0.6305170239596469)	(150, 0.6396881806717873)	(155, 0.6809583858764187)	(160, 1.1372234323053996)	(165, 2.7192479651496044)	(170, 6.545913103290152)	(175, 6.956322366158432)	(180, 6.993006993006993)	(185, 6.993006993006993)	(190, 6.993006993006993)	(195, 6.999885360541098)	(200, 7.0159348847873435)	(205, 7.0159348847873435)	(210, 7.0159348847873435)	(215, 7.043448354923764)	(220, 7.061790668348046)	(225, 7.091596927662502)	(230, 7.107646451908747)	(235, 7.123695976154993)	(240, 7.139745500401237)	(245, 7.142038289579273)	(250, 7.151209446291413)	(255, 7.153502235469449)	(260, 7.153502235469449)	(265, 7.153502235469449)	(270, 7.153502235469449)	(275, 7.153502235469449)	(280, 7.153502235469449)	(285, 7.153502235469449)	(290, 7.153502235469449)
Yell_July18_Site1J_S99_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0343918376705262)	(6, 0.35538232259543734)	(7, 0.35538232259543734)	(8, 1.180786426688066)	(9, 1.2151782643585922)	(10, 1.2266422102487675)	(15, 1.238106156138943)	(20, 1.238106156138943)	(25, 1.238106156138943)	(30, 1.2541556803851885)	(35, 1.2610340479192939)	(40, 1.2610340479192939)	(45, 1.2610340479192939)	(50, 1.2610340479192939)	(55, 1.2610340479192939)	(60, 1.2610340479192939)	(65, 1.2610340479192939)	(70, 1.2610340479192939)	(75, 1.5040697007910122)	(80, 1.8984294394130459)	(85, 1.9213573311933967)	(90, 1.9396996446176775)	(95, 1.9534563796858877)	(100, 1.9603347472199928)	(105, 1.9901410065344494)	(110, 2.0199472658489053)	(115, 2.0382895792731857)	(120, 2.063510260231572)	(125, 2.1414650922847644)	(130, 2.3569872750200616)	(135, 2.421185372005044)	(140, 2.4578699988536052)	(145, 2.5358248309067983)	(150, 2.606901295425886)	(155, 2.6390003439183767)	(160, 2.6710993924108677)	(165, 2.6802705491230085)	(170, 2.687148916657113)	(175, 2.6940272841912187)	(180, 2.707784019259429)	(185, 2.8201306889831477)	(190, 2.9966754556918493)	(195, 3.0150177691161297)	(200, 3.017310558294165)	(205, 3.053995185142726)	(210, 3.1755130115785852)	(215, 3.237418319385532)	(220, 3.255760632809813)	(225, 3.276395735412129)	(230, 3.395620772669953)	(235, 4.03989453169781)	(240, 6.843975696434711)	(245, 9.576980396652527)	(250, 10.014903129657228)	(255, 10.108907485956667)	(260, 10.143299323627193)	(265, 10.175398372119684)	(270, 10.196033474721999)	(275, 10.21437578814628)	(280, 10.216668577324315)	(285, 10.246474836638772)	(290, 10.271695517597157)
Yell_July18_Site1J_S99_R2_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00687836753410524)	(35, 0.011463945890175398)	(40, 0.011463945890175398)	(45, 0.011463945890175398)	(50, 0.018342313424280637)	(55, 0.13527456150406972)	(60, 0.458557835607016)	(65, 0.4860713057434369)	(70, 0.513584775879858)	(75, 0.5709045053307349)	(80, 0.5846612403989453)	(85, 0.6075891321792961)	(90, 0.6213458672475066)	(95, 0.6351026023157171)	(100, 0.6465665482058925)	(105, 0.6534449157399977)	(110, 0.6763728075203485)	(115, 0.6993006993006993)	(120, 0.7222285910810501)	(125, 0.7222285910810501)	(130, 0.7634987962856815)	(135, 0.8529175742290496)	(140, 0.9102373036799266)	(145, 0.9331651954602774)	(150, 0.9492147197065229)	(155, 1.0042416599793649)	(160, 1.5292903817493984)	(165, 3.4483549237647595)	(170, 8.098131376819902)	(175, 8.623180098589936)	(180, 8.6667430929726)	(185, 8.675914249684741)	(190, 8.682792617218848)	(195, 8.696549352287057)	(200, 8.712598876533303)	(205, 8.712598876533303)	(210, 8.712598876533303)	(215, 8.740112346669724)	(220, 8.758454660094003)	(225, 8.78826091940846)	(230, 8.804310443654705)	(235, 8.820359967900952)	(240, 8.843287859681302)	(245, 8.850166227215407)	(250, 8.868508540639688)	(255, 8.873094118995759)	(260, 8.873094118995759)	(265, 8.873094118995759)	(270, 8.873094118995759)	(275, 8.873094118995759)	(280, 8.873094118995759)	(285, 8.873094118995759)	(290, 8.873094118995759)
Yell_July18_Site1J_S99_R2_001 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0022927891780350797)	(20, 0.022927891780350797)	(25, 0.022927891780350797)	(30, 0.022927891780350797)	(35, 0.022927891780350797)	(40, 0.022927891780350797)	(45, 0.022927891780350797)	(50, 0.022927891780350797)	(55, 0.022927891780350797)	(60, 0.022927891780350797)	(65, 0.022927891780350797)	(70, 0.022927891780350797)	(75, 0.022927891780350797)	(80, 0.022927891780350797)	(85, 0.022927891780350797)	(90, 0.022927891780350797)	(95, 0.022927891780350797)	(100, 0.032099048492491115)	(105, 0.0343918376705262)	(110, 0.04356299438266651)	(115, 0.04585578356070159)	(120, 0.04585578356070159)	(125, 0.04585578356070159)	(130, 0.06190530780694716)	(135, 0.0687836753410524)	(140, 0.08024762123122779)	(145, 0.11005388054568384)	(150, 0.14444571821621005)	(155, 0.17425197753066604)	(160, 0.18342313424280637)	(165, 0.18342313424280637)	(170, 0.201765447667087)	(175, 0.22469333944743783)	(180, 0.229278917803508)	(185, 0.24074286369368333)	(190, 0.25220680958385877)	(195, 0.2728419121861745)	(200, 0.3026481715006305)	(205, 0.33704000917115673)	(210, 0.3507967442393672)	(215, 0.35538232259543734)	(220, 0.37143184684168296)	(225, 0.3966525278000688)	(230, 0.4241659979364897)	(235, 0.5410982460162789)	(240, 0.5617333486185945)	(245, 0.5961251862891207)	(250, 0.6534449157399977)	(255, 0.72222859108105)	(260, 0.7566204287515763)	(265, 0.7772555313538921)	(270, 0.7864266880660323)	(275, 0.8208185257365586)	(280, 1.1647369024418204)	(285, 1.7012495701020292)	(290, 1.7883755588673622)
Yell_July18_Site1J_S99_R2_001 - polyg	(1, 1.6508082081852573)	(2, 1.6508082081852573)	(3, 1.6508082081852573)	(4, 1.6508082081852573)	(5, 1.6508082081852573)	(6, 1.6508082081852573)	(7, 1.6508082081852573)	(8, 1.6508082081852573)	(9, 1.6508082081852573)	(10, 2.1460506706408347)	(15, 2.476212312277886)	(20, 2.476212312277886)	(25, 2.4807978906339563)	(30, 2.4876762581680616)	(35, 2.4876762581680616)	(40, 2.4876762581680616)	(45, 2.4876762581680616)	(50, 2.4876762581680616)	(55, 2.4876762581680616)	(60, 2.4922618365241314)	(65, 2.4991402040582367)	(70, 2.4991402040582367)	(75, 2.4991402040582367)	(80, 2.4991402040582367)	(85, 2.4991402040582367)	(90, 2.4991402040582367)	(95, 2.4991402040582367)	(100, 2.4991402040582367)	(105, 2.503725782414307)	(110, 2.510604149948412)	(115, 2.510604149948412)	(120, 2.510604149948412)	(125, 2.5128969391264473)	(130, 2.611486873781956)	(135, 2.7857388513126216)	(140, 2.8178378998051126)	(145, 2.852229737475639)	(150, 2.9141350452825865)	(155, 2.9462340937750775)	(160, 2.964576407199358)	(165, 2.9806259314456036)	(170, 2.992089877335779)	(175, 3.0058466124039893)	(180, 3.0150177691161297)	(185, 3.035652871718446)	(190, 3.150292330620199)	(195, 3.345179410753181)	(200, 3.3589361458213913)	(205, 3.3795712484237073)	(210, 3.468990026367076)	(215, 3.5538232259543734)	(220, 3.5790439069127595)	(225, 3.5928006419809697)	(230, 3.618021322939356)	(235, 4.03530895334174)	(240, 4.796514960449386)	(245, 9.427949100080246)	(250, 11.452481944285221)	(255, 11.567121403186977)	(260, 11.578585349077152)	(265, 11.601513240857502)	(270, 11.629026710993923)	(275, 11.642783446062134)	(280, 11.647369024418206)	(285, 11.647369024418206)	(290, 11.647369024418206)
Yell_July18_Site1L_S101_R1_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.005993287517979862)	(30, 0.012785680038357039)	(35, 0.0159821000479463)	(40, 0.0159821000479463)	(45, 0.0159821000479463)	(50, 0.029566885088700656)	(55, 0.07951094773853283)	(60, 0.13464919290394756)	(65, 0.19178520057535559)	(70, 0.21575835064727505)	(75, 0.22734537318203613)	(80, 0.23174045069522134)	(85, 0.2357359757072079)	(90, 0.24452613073357837)	(95, 0.25251718075755153)	(100, 0.2537158382611475)	(105, 0.2553140482659421)	(110, 0.2573118107719354)	(115, 0.25891002077673003)	(120, 0.29526929838580795)	(125, 0.32643439347930314)	(130, 0.5114272015342817)	(135, 1.3033402589100207)	(140, 1.899472590698418)	(145, 2.4168930797506794)	(150, 3.0873421767620264)	(155, 3.6087581908262742)	(160, 5.262905545788717)	(165, 25.7147994246444)	(170, 61.079590858238774)	(175, 72.77369346332108)	(180, 73.5983698257951)	(185, 73.61395237334185)	(190, 73.62633850087902)	(195, 73.63792552341377)	(200, 73.64311970592937)	(205, 73.64351925843056)	(210, 73.64351925843056)	(215, 73.64351925843056)	(220, 73.64351925843056)	(225, 73.64351925843056)	(230, 73.64351925843056)	(235, 73.64351925843056)	(240, 73.64351925843056)	(245, 73.64351925843056)	(250, 73.64351925843056)	(255, 73.64351925843056)	(260, 73.64351925843056)	(265, 73.64351925843056)	(270, 73.64511746843536)	(275, 73.64551702093655)	(280, 73.64551702093655)	(285, 73.64551702093655)	(290, 73.64551702093655)
Yell_July18_Site1L_S101_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.010787917532363753)	(80, 0.029167332587502)	(85, 0.029966437589899315)	(90, 0.029966437589899315)	(95, 0.030365990091097972)	(100, 0.035959725107879176)	(105, 0.046747642640242934)	(110, 0.049944062649832185)	(115, 0.051941825155825475)	(120, 0.05234137765702414)	(125, 0.08790155026370465)	(130, 0.15182995045548983)	(135, 0.20936551062809655)	(140, 0.2541153907623461)	(145, 0.2700974908102925)	(150, 0.27688988333066966)	(155, 0.278887645836663)	(160, 0.2868786958606361)	(165, 0.29886527089659587)	(170, 0.30126258590378774)	(175, 0.30246124340738373)	(180, 0.3040594534121784)	(185, 0.305657663416973)	(190, 0.3228384209685152)	(195, 0.35480262106440785)	(200, 0.3859677161579032)	(205, 0.8534441425603324)	(210, 1.680917372542752)	(215, 2.1400031964200097)	(220, 2.610676042832028)	(225, 3.3374620425123864)	(230, 4.111395237334186)	(235, 7.050103883650311)	(240, 39.29958446539875)	(245, 70.28647914335943)	(250, 74.85975707207926)	(255, 75.19817804059453)	(260, 75.26530286079591)	(265, 75.30605721591817)	(270, 75.32403707847212)	(275, 75.33442544350328)	(280, 75.34201694102606)	(285, 75.34801022854404)	(290, 75.35360396356081)
Yell_July18_Site1L_S101_R2_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.005993287517979862)	(30, 0.012785680038357039)	(35, 0.0159821000479463)	(40, 0.0159821000479463)	(45, 0.0159821000479463)	(50, 0.029167332587501992)	(55, 0.07671408023014224)	(60, 0.12865590538596772)	(65, 0.188988333066965)	(70, 0.21575835064727505)	(75, 0.22734537318203613)	(80, 0.23174045069522134)	(85, 0.2357359757072079)	(90, 0.24452613073357837)	(95, 0.25251718075755153)	(100, 0.2537158382611475)	(105, 0.2553140482659421)	(110, 0.2573118107719354)	(115, 0.25891002077673003)	(120, 0.29526929838580795)	(125, 0.32923126098769384)	(130, 0.5070321240210964)	(135, 1.2753715838261148)	(140, 1.8591177880773535)	(145, 2.3721431996164295)	(150, 3.0342016941026047)	(155, 3.5468275531404827)	(160, 5.127057695381174)	(165, 25.107479622822442)	(170, 59.85696020457088)	(175, 71.33330669649993)	(180, 72.12402109637205)	(185, 72.1412018539236)	(190, 72.15159021895477)	(195, 72.16157903148473)	(200, 72.16677321400032)	(205, 72.16717276650152)	(210, 72.16717276650152)	(215, 72.16717276650152)	(220, 72.16717276650152)	(225, 72.16717276650152)	(230, 72.16717276650152)	(235, 72.16717276650152)	(240, 72.16717276650152)	(245, 72.16717276650152)	(250, 72.16717276650152)	(255, 72.16717276650152)	(260, 72.16717276650152)	(265, 72.16717276650152)	(270, 72.16877097650631)	(275, 72.16917052900752)	(280, 72.16917052900752)	(285, 72.16917052900752)	(290, 72.16917052900752)
Yell_July18_Site1L_S101_R2_001 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0015982100047946298)	(15, 0.0031964200095892597)	(20, 0.003995525011986575)	(25, 0.005194182515582548)	(30, 0.00799105002397315)	(35, 0.00799105002397315)	(40, 0.00799105002397315)	(45, 0.00799105002397315)	(50, 0.00799105002397315)	(55, 0.00799105002397315)	(60, 0.00799105002397315)	(65, 0.008390602525171808)	(70, 0.01238612753715838)	(75, 0.015182995045548986)	(80, 0.019977625059932877)	(85, 0.021975387565926163)	(90, 0.021975387565926163)	(95, 0.023174045069522135)	(100, 0.02477225507431676)	(105, 0.025970912577912737)	(110, 0.030365990091097972)	(115, 0.0347610676042832)	(120, 0.037957487613872465)	(125, 0.037957487613872465)	(130, 0.0403548026210644)	(135, 0.047946300143838896)	(140, 0.05913377017740131)	(145, 0.06712482020137445)	(150, 0.07112034521336104)	(155, 0.07191945021575835)	(160, 0.07191945021575835)	(165, 0.07311810771935431)	(170, 0.07911139523733418)	(175, 0.08510468275531405)	(180, 0.08949976026849929)	(185, 0.09189707527569123)	(190, 0.09429439028288318)	(195, 0.0958926002876778)	(200, 0.10188588780565766)	(205, 0.1042832028128496)	(210, 0.11147514783442544)	(215, 0.11227425283682275)	(220, 0.11587022534761067)	(225, 0.11826754035480261)	(230, 0.12865590538596772)	(235, 0.1450375579351127)	(240, 0.15422726546268178)	(245, 0.1626178679878536)	(250, 0.17060891801182673)	(255, 0.18019817804059451)	(260, 0.18739012306217034)	(265, 0.19298385807895158)	(270, 0.2009749081029247)	(275, 0.20536998561610992)	(280, 0.26730062330190185)	(285, 0.38237174364711524)	(290, 0.40354802621064406)
Yell_July18_Site1L_S101_R2_001 - polyg	(1, 0.4055457887166374)	(2, 0.40754355122263064)	(3, 0.40754355122263064)	(4, 0.40754355122263064)	(5, 0.40754355122263064)	(6, 0.40954131372862396)	(7, 0.40954131372862396)	(8, 0.40954131372862396)	(9, 0.40954131372862396)	(10, 0.5557775291673326)	(15, 0.653268339459805)	(20, 0.6540674444622023)	(25, 0.6584625219753877)	(30, 0.6596611794789835)	(35, 0.6612593894837782)	(40, 0.6612593894837782)	(45, 0.6612593894837782)	(50, 0.6612593894837782)	(55, 0.6612593894837782)	(60, 0.6616589419849769)	(65, 0.6636567044909701)	(70, 0.667252677001758)	(75, 0.667252677001758)	(80, 0.667252677001758)	(85, 0.667252677001758)	(90, 0.667252677001758)	(95, 0.667252677001758)	(100, 0.6716477545149433)	(105, 0.6768419370305259)	(110, 0.681237014543711)	(115, 0.681237014543711)	(120, 0.681237014543711)	(125, 0.6884289595652868)	(130, 0.7299824196899473)	(135, 0.7983058973949178)	(140, 0.8466517500399553)	(145, 0.8874061051622183)	(150, 0.8993926801981781)	(155, 0.9049864152149592)	(160, 0.9073837302221512)	(165, 0.9177720952533163)	(170, 0.9293591177880774)	(175, 0.930957327792872)	(180, 0.9321559852964679)	(185, 0.9341537478024613)	(190, 0.9349528528048585)	(195, 0.9641201853923607)	(200, 0.9956848329870546)	(205, 1.0564168131692504)	(210, 1.7384529327153586)	(215, 2.4752277449256836)	(220, 2.979463001438389)	(225, 3.5532203931596613)	(230, 4.147354962442065)	(235, 5.356400831069203)	(240, 9.585264503755793)	(245, 51.13752597091258)	(250, 72.77688988333067)	(255, 75.30845453092536)	(260, 75.55457887166374)	(265, 75.61890682435673)	(270, 75.64767460444303)	(275, 75.66325715198977)	(280, 75.68243567204732)	(285, 75.69122582707368)	(290, 75.69322358957967)
