Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
Yell_July18_Site1J_S99_R1_001	26.023157170698155	39.0	301.0	301	45.45454545454545	0.008723
Yell_July18_Site1J_S99_R2_001	51.04895104895105	40.0	301.0	301	54.54545454545454	0.008723
Yell_July18_Site1L_S101_R1_001	81.44278408182835	54.0	301.0	301	45.45454545454545	0.050055999999999996
Yell_July18_Site1L_S101_R2_001	85.19258430557775	54.0	301.0	301	45.45454545454545	0.050055999999999996
Yell_July18_Site1U_S114_R1_001	39.92313067784766	47.0	301.0	301	27.27272727272727	0.042929999999999996
Yell_July18_Site1U_S114_R2_001	44.02748660610296	47.0	301.0	301	27.27272727272727	0.042929999999999996
Yell_July18_Site1a_S83_R1_001	89.9362592185218	58.0	301.0	301	45.45454545454545	0.22183599999999998
Yell_July18_Site1a_S83_R2_001	93.32074144863773	58.0	301.0	301	45.45454545454545	0.22183599999999998
Yell_July18_Site1aa_S130_R1_001	0.0	0.0	0	0	0.0	0.0
Yell_July18_Site1aa_S130_R2_001	0.0	0.0	0	0	0.0	0.0
Yell_July18_Site1b_S84_R1_001	81.81249447063433	53.0	301.0	301	45.45454545454545	0.158246
Yell_July18_Site1b_S84_R2_001	86.5677489478407	53.0	301.0	301	45.45454545454545	0.158246
Yell_July18_Site1bb_S139_R1_001	87.92395084075645	61.0	301.0	301	45.45454545454545	0.16794399999999998
Yell_July18_Site1bb_S139_R2_001	90.91840137188586	60.0	301.0	301	45.45454545454545	0.16794399999999998
Yell_July18_Site1c_S85_R1_001	84.6173566495498	53.0	301.0	301	54.54545454545454	0.128723
Yell_July18_Site1c_S85_R2_001	88.60965017906668	53.0	301.0	301	45.45454545454545	0.128723
Yell_July18_Site1cc_S140_R1_001	89.69983431594352	55.0	301.0	301	45.45454545454545	0.356703
Yell_July18_Site1cc_S140_R2_001	92.21144761888742	55.0	301.0	301	45.45454545454545	0.356703
Yell_July18_Site1d_S86_R1_001	84.93226964862039	52.0	301.0	301	45.45454545454545	0.17599199999999998
Yell_July18_Site1d_S86_R2_001	88.45004318378108	52.0	301.0	301	45.45454545454545	0.17599199999999998
Yell_July18_Site1dd_S141_R1_001	87.57485678897662	54.0	301.0	301	45.45454545454545	0.32294999999999996
Yell_July18_Site1dd_S141_R2_001	91.5940548072457	54.0	301.0	301	45.45454545454545	0.32294999999999996
Yell_July18_Site1e_S91_R1_001	74.55234271281935	58.0	301.0	301	45.45454545454545	0.030882999999999997
Yell_July18_Site1e_S91_R2_001	79.4709063238675	58.0	301.0	301	45.45454545454545	0.030882999999999997
Yell_July18_Site1ee_S142_R1_001	79.0277254035806	67.0	301.0	301	45.45454545454545	0.22275599999999998
Yell_July18_Site1ee_S142_R2_001	82.52392752608235	67.0	301.0	301	45.45454545454545	0.22275599999999998
Yell_July18_Site1f_S92_R1_001	95.18586989951973	59.0	301.0	301	45.45454545454545	0.295879
Yell_July18_Site1f_S92_R2_001	97.16336745764316	60.0	301.0	301	45.45454545454545	0.295879
Yell_July18_Site1g_S93_R1_001	87.9796665702997	58.0	301.0	301	45.45454545454545	0.20754
Yell_July18_Site1g_S93_R2_001	89.73547267996531	58.0	301.0	301	45.45454545454545	0.20754
Yell_July18_Site1h_S94_R1_001	83.92360921920123	57.0	301.0	301	45.45454545454545	0.07341199999999999
Yell_July18_Site1h_S94_R2_001	88.05099983653899	57.0	301.0	301	45.45454545454545	0.07341199999999999
Yell_July18_Site1k_S100_R1_001	81.4335943880402	51.0	301.0	301	45.45454545454545	0.116323
Yell_July18_Site1k_S100_R2_001	86.98107854852437	51.0	301.0	301	45.45454545454545	0.116323
Yell_July18_Site1m_S102_R1_001	83.26642205332253	52.0	301.0	301	45.45454545454545	0.167884
Yell_July18_Site1m_S102_R2_001	87.81480069571847	53.0	301.0	301	45.45454545454545	0.167884
Yell_July18_Site1n_S103_R1_001	85.41197509603921	53.0	301.0	301	45.45454545454545	0.24156799999999998
Yell_July18_Site1n_S103_R2_001	89.09954960921976	54.0	301.0	301	45.45454545454545	0.24156799999999998
Yell_July18_Site1o_S104_R1_001	82.93081942045673	53.0	301.0	301	45.45454545454545	0.20844
Yell_July18_Site1o_S104_R2_001	87.21982345039339	53.0	301.0	301	45.45454545454545	0.20844
Yell_July18_Site1p_S105_R1_001	90.63291251603039	58.0	301.0	301	45.45454545454545	1.07118
Yell_July18_Site1p_S105_R2_001	92.28626374652252	59.0	301.0	301	45.45454545454545	1.07118
Yell_July18_Site1q_S106_R1_001	89.79822246727844	59.0	301.0	301	54.54545454545454	0.15234599999999998
Yell_July18_Site1q_S106_R2_001	92.6680057238129	59.0	301.0	301	45.45454545454545	0.15234599999999998
Yell_July18_Site1r_S111_R1_001	87.25738547167118	52.0	301.0	301	45.45454545454545	0.16816799999999998
Yell_July18_Site1r_S111_R2_001	90.00582750582751	53.0	301.0	301	45.45454545454545	0.16816799999999998
Yell_July18_Site1s_S112_R1_001	84.13090475362175	52.0	301.0	301	45.45454545454545	0.20121499999999998
Yell_July18_Site1s_S112_R2_001	87.89951047387123	52.0	301.0	301	45.45454545454545	0.20121499999999998
Yell_July18_Site1t_S113_R1_001	84.52075422613777	52.0	301.0	301	45.45454545454545	0.19988699999999998
Yell_July18_Site1t_S113_R2_001	88.58855253218069	52.0	301.0	301	45.45454545454545	0.19988699999999998
Yell_July18_Site1v_S117_R1_001	86.55753606107697	57.0	301.0	301	45.45454545454545	0.19175799999999998
Yell_July18_Site1v_S117_R2_001	89.62285797724215	58.0	301.0	301	45.45454545454545	0.19175799999999998
Yell_July18_Site1w_S118_R1_001	89.26461244440442	55.0	301.0	301	54.54545454545454	0.199881
Yell_July18_Site1w_S118_R2_001	91.76960291373368	55.0	301.0	301	45.45454545454545	0.199881
Yell_July18_Site1x_S119_R1_001	0.0	0.0	0	0	0.0	0.0
Yell_July18_Site1x_S119_R2_001	0.0	0.0	0	0	0.0	0.0
Yell_July18_Site1y_S120_R1_001	86.27316534293278	52.0	301.0	301	45.45454545454545	0.15750899999999998
Yell_July18_Site1y_S120_R2_001	89.02348437232158	52.0	301.0	301	45.45454545454545	0.15750899999999998
Yell_July18_Site1z_S129_R1_001	89.28681164862927	56.0	301.0	301	45.45454545454545	0.146455
Yell_July18_Site1z_S129_R2_001	92.3129971663651	56.0	301.0	301	45.45454545454545	0.146455
Yell_July18_Site5J_S107_R1_001	62.857142857142854	59.0	301.0	301	54.54545454545454	7e-05
Yell_July18_Site5J_S107_R2_001	77.14285714285714	58.0	301.0	301	54.54545454545454	7e-05
Yell_July18_Site5L_S109_R1_001	83.45017526289433	52.0	301.0	301	45.45454545454545	0.187718
Yell_July18_Site5L_S109_R2_001	87.50093224943798	52.0	301.0	301	45.45454545454545	0.187718
Yell_July18_Site5a_S87_R1_001	92.16958630954234	58.0	301.0	301	45.45454545454545	0.160579
Yell_July18_Site5a_S87_R2_001	93.54211945522141	58.0	301.0	301	45.45454545454545	0.160579
Yell_July18_Site5aa_S132_R1_001	87.77091122281277	53.0	301.0	301	45.45454545454545	0.312141
Yell_July18_Site5aa_S132_R2_001	90.85797764471825	53.0	301.0	301	45.45454545454545	0.312141
Yell_July18_Site5b_S88_R1_001	88.01575578532743	57.0	301.0	301	45.45454545454545	0.2031
Yell_July18_Site5b_S88_R2_001	90.5312653865091	57.0	301.0	301	45.45454545454545	0.2031
Yell_July18_Site5bb_S133_R1_001	88.29726935410227	51.0	301.0	301	45.45454545454545	0.381082
Yell_July18_Site5bb_S133_R2_001	90.5429802509696	50.0	301.0	301	45.45454545454545	0.381082
Yell_July18_Site5c_S89_R1_001	78.85685627386268	52.0	301.0	301	45.45454545454545	0.061812
Yell_July18_Site5c_S89_R2_001	84.54992558079337	52.0	301.0	301	45.45454545454545	0.061812
Yell_July18_Site5cc_S134_R1_001	88.23179160517812	54.0	301.0	301	45.45454545454545	0.428264
Yell_July18_Site5cc_S134_R2_001	91.7999178077074	53.0	301.0	301	45.45454545454545	0.428264
Yell_July18_Site5d_S90_R1_001	0.0	0.0	0	0	0.0	0.0
Yell_July18_Site5d_S90_R2_001	0.0	0.0	0	0	0.0	0.0
Yell_July18_Site5dd_S135_R1_001	0.0	0.0	0	0	0.0	0.0
Yell_July18_Site5dd_S135_R2_001	0.0	0.0	0	0	0.0	0.0
Yell_July18_Site5e_S95_R1_001	94.98243192550106	59.0	301.0	301	45.45454545454545	0.349213
Yell_July18_Site5e_S95_R2_001	96.91849959766675	58.0	301.0	301	45.45454545454545	0.349213
Yell_July18_Site5ee_S136_R1_001	91.63142763112957	56.0	301.0	301	45.45454545454545	0.322086
Yell_July18_Site5ee_S136_R2_001	93.75943071105233	56.0	301.0	301	45.45454545454545	0.322086
Yell_July18_Site5f_S96_R1_001	57.0106273568735	52.0	301.0	301	45.45454545454545	0.008751
Yell_July18_Site5f_S96_R2_001	72.23174494343503	52.0	301.0	301	45.45454545454545	0.008751
Yell_July18_Site5ff_S137_R1_001	86.07584499294416	51.0	301.0	301	45.45454545454545	0.424471
Yell_July18_Site5ff_S137_R2_001	88.90736940803966	51.0	301.0	301	45.45454545454545	0.424471
Yell_July18_Site5g_S97_R1_001	66.23926072999203	38.0	301.0	301	36.36363636363637	0.10778199999999999
Yell_July18_Site5g_S97_R2_001	72.30706425933829	39.0	301.0	301	36.36363636363637	0.10778199999999999
Yell_July18_Site5gg_S138_R1_001	0.0	0.0	0	0	0.0	0.0
Yell_July18_Site5gg_S138_R2_001	0.0	0.0	0	0	0.0	0.0
Yell_July18_Site5h_S98_R1_001	96.16280641493532	59.0	301.0	301	54.54545454545454	0.377307
Yell_July18_Site5h_S98_R2_001	97.74586742360995	60.0	301.0	301	45.45454545454545	0.377307
Yell_July18_Site5k_S108_R1_001	80.34542647626398	53.0	301.0	301	45.45454545454545	0.062183999999999996
Yell_July18_Site5k_S108_R2_001	83.45394313649814	52.0	301.0	301	45.45454545454545	0.062183999999999996
Yell_July18_Site5m_S110_R1_001	83.50009423834928	53.0	301.0	301	45.45454545454545	0.122031
Yell_July18_Site5m_S110_R2_001	87.35403299161689	53.0	301.0	301	45.45454545454545	0.122031
Yell_July18_Site5n_S115_R1_001	80.22243670115367	55.0	301.0	301	45.45454545454545	0.11086299999999999
Yell_July18_Site5n_S115_R2_001	85.58761714909393	55.0	301.0	301	45.45454545454545	0.11086299999999999
Yell_July18_Site5o_S116_R1_001	85.04734779769248	51.0	301.0	301	45.45454545454545	0.110248
Yell_July18_Site5o_S116_R2_001	88.69367244757274	52.0	301.0	301	45.45454545454545	0.110248
Yell_July18_Site5p_S121_R1_001	83.66944976822225	53.0	301.0	301	45.45454545454545	0.15079099999999998
Yell_July18_Site5p_S121_R2_001	88.85278299102731	53.0	301.0	301	45.45454545454545	0.15079099999999998
Yell_July18_Site5q_S122_R1_001	51.91330230680944	44.0	301.0	301	45.45454545454545	0.158574
Yell_July18_Site5q_S122_R2_001	63.98337684614123	43.0	301.0	301	45.45454545454545	0.158574
Yell_July18_Site5r_S123_R1_001	86.84783825879813	55.0	301.0	301	45.45454545454545	0.196462
Yell_July18_Site5r_S123_R2_001	90.32993657806598	54.0	301.0	301	45.45454545454545	0.196462
Yell_July18_Site5s_S124_R1_001	81.59662295939333	53.0	301.0	301	45.45454545454545	0.133845
Yell_July18_Site5s_S124_R2_001	85.9695916918824	53.0	301.0	301	45.45454545454545	0.133845
Yell_July18_Site5t_S125_R1_001	87.00359200910684	52.0	301.0	301	45.45454545454545	0.339086
Yell_July18_Site5u_S126_R1_001	82.66962499712596	52.0	301.0	301	45.45454545454545	0.086986
Yell_July18_Site5u_S126_R2_001	86.7139539696043	53.0	301.0	301	45.45454545454545	0.086986
Yell_July18_Site5v_S127_R1_001	86.77199057375078	54.0	301.0	301	45.45454545454545	0.083172
Yell_July18_Site5v_S127_R2_001	88.95541768864521	54.0	301.0	301	45.45454545454545	0.083172
Yell_July18_Site5w_S128_R1_001	15.384615384615387	51.0	301.0	301	45.45454545454545	1.3e-05
Yell_July18_Site5w_S128_R2_001	30.769230769230774	51.0	301.0	301	45.45454545454545	1.3e-05
Yell_July18_Site5z_S131_R1_001	81.70007323748217	51.0	301.0	301	45.45454545454545	0.51886
Yell_July18_Site5z_S131_R2_001	85.85726400185021	51.0	301.0	301	45.45454545454545	0.51886
