Sample	Passed Filter	Low Quality	Too Many N	Low Complexity	Too Short	Too Long
Yell_July18_Site1J_S99	17102.0	108.0	0.0	nan	236.0	0.0
Yell_July18_Site1L_S101	99530.0	256.0	2.0	nan	324.0	0.0
Yell_July18_Site1U_S114	84948.0	318.0	0.0	nan	594.0	0.0
Yell_July18_Site1a_S83	441596.0	1338.0	0.0	nan	738.0	0.0
Yell_July18_Site1b_S84	314908.0	742.0	0.0	nan	842.0	0.0
Yell_July18_Site1bb_S139	333810.0	1262.0	4.0	nan	812.0	0.0
Yell_July18_Site1c_S85	256212.0	628.0	0.0	nan	606.0	0.0
Yell_July18_Site1cc_S140	708024.0	1984.0	6.0	nan	3392.0	0.0
Yell_July18_Site1d_S86	350072.0	940.0	0.0	nan	972.0	0.0
Yell_July18_Site1dd_S141	642458.0	1708.0	2.0	nan	1732.0	0.0
Yell_July18_Site1e_S91	61344.0	214.0	0.0	nan	208.0	0.0
Yell_July18_Site1ee_S142	433902.0	2748.0	4.0	nan	8858.0	0.0
Yell_July18_Site1f_S92	589774.0	1298.0	2.0	nan	684.0	0.0
Yell_July18_Site1g_S93	412460.0	1056.0	2.0	nan	1562.0	0.0
Yell_July18_Site1h_S94	146072.0	384.0	2.0	nan	366.0	0.0
Yell_July18_Site1k_S100	231066.0	666.0	0.0	nan	914.0	0.0
Yell_July18_Site1m_S102	334006.0	800.0	0.0	nan	962.0	0.0
Yell_July18_Site1n_S103	480186.0	1546.0	6.0	nan	1398.0	0.0
Yell_July18_Site1o_S104	414454.0	1290.0	4.0	nan	1132.0	0.0
Yell_July18_Site1p_S105	2119558.0	9852.0	8.0	nan	12942.0	0.0
Yell_July18_Site1q_S106	303034.0	1112.0	2.0	nan	544.0	0.0
Yell_July18_Site1r_S111	334512.0	954.0	0.0	nan	870.0	0.0
Yell_July18_Site1s_S112	400056.0	1250.0	0.0	nan	1124.0	0.0
Yell_July18_Site1t_S113	396532.0	2256.0	4.0	nan	982.0	0.0
Yell_July18_Site1v_S117	372514.0	1034.0	0.0	nan	9968.0	0.0
Yell_July18_Site1w_S118	397762.0	1222.0	6.0	nan	772.0	0.0
Yell_July18_Site1y_S120	313638.0	660.0	2.0	nan	718.0	0.0
Yell_July18_Site1z_S129	291722.0	646.0	6.0	nan	536.0	0.0
Yell_July18_Site5J_S107	140.0	0.0	0.0	nan	0.0	0.0
Yell_July18_Site5L_S109	372044.0	2512.0	0.0	nan	880.0	0.0
Yell_July18_Site5a_S87	318580.0	1940.0	4.0	nan	634.0	0.0
Yell_July18_Site5aa_S132	621098.0	1644.0	4.0	nan	1536.0	0.0
Yell_July18_Site5b_S88	400690.0	3340.0	2.0	nan	2168.0	0.0
Yell_July18_Site5bb_S133	757302.0	2620.0	6.0	nan	2236.0	0.0
Yell_July18_Site5c_S89	122568.0	760.0	0.0	nan	296.0	0.0
Yell_July18_Site5cc_S134	846448.0	7952.0	2.0	nan	2126.0	0.0
Yell_July18_Site5e_S95	695896.0	1640.0	10.0	nan	880.0	0.0
Yell_July18_Site5ee_S136	640200.0	2566.0	8.0	nan	1398.0	0.0
Yell_July18_Site5f_S96	17146.0	196.0	0.0	nan	160.0	0.0
Yell_July18_Site5ff_S137	841834.0	3924.0	6.0	nan	3178.0	0.0
Yell_July18_Site5g_S97	213562.0	666.0	2.0	nan	1334.0	0.0
Yell_July18_Site5h_S98	751112.0	1940.0	4.0	nan	1558.0	0.0
Yell_July18_Site5k_S108	122358.0	1600.0	0.0	nan	410.0	0.0
Yell_July18_Site5m_S110	242208.0	1126.0	2.0	nan	726.0	0.0
Yell_July18_Site5n_S115	219538.0	884.0	4.0	nan	1300.0	0.0
Yell_July18_Site5o_S116	219244.0	592.0	0.0	nan	660.0	0.0
Yell_July18_Site5p_S121	299138.0	1562.0	8.0	nan	874.0	0.0
Yell_July18_Site5q_S122	314172.0	1466.0	2.0	nan	1508.0	0.0
Yell_July18_Site5r_S123	391462.0	884.0	2.0	nan	576.0	0.0
Yell_July18_Site5s_S124	264632.0	2298.0	0.0	nan	760.0	0.0
Yell_July18_Site5u_S126	172744.0	720.0	2.0	nan	506.0	0.0
Yell_July18_Site5v_S127	165348.0	560.0	4.0	nan	432.0	0.0
Yell_July18_Site5w_S128	26.0	0.0	0.0	nan	0.0	0.0
Yell_July18_Site5z_S131	1030364.0	4484.0	4.0	nan	2868.0	0.0
