.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
Site1J_S99_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site1J_S99_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site1L_S101_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site1L_S101_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site1U_S114_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.5
Site1U_S114_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.5
Site1a_S83_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site1a_S83_L001_R2_001	1	0.25	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
Site1b_S84_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site1b_S84_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site1bb_S139_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
Site1bb_S139_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
Site1c_S85_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site1c_S85_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site1cc_S140_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site1cc_S140_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site1d_S86_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site1d_S86_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site1dd_S141_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site1dd_S141_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site1e_S91_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
Site1e_S91_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
Site1ee_S142_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
Site1ee_S142_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
Site1f_S92_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site1f_S92_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Site1g_S93_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
Site1g_S93_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
Site1h_S94_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.5
Site1h_S94_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site1k_S100_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site1k_S100_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site1m_S102_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site1m_S102_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site1n_S103_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site1n_S103_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
