Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
Yell_July18_Site1J_S99_L001_R1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.007008527041233501)	(25, 0.011680878402055835)	(30, 0.011680878402055835)	(35, 0.011680878402055835)	(40, 0.011680878402055835)	(45, 0.011680878402055835)	(50, 0.011680878402055835)	(55, 0.011680878402055835)	(60, 0.011680878402055835)	(65, 0.011680878402055835)	(70, 0.011680878402055835)	(75, 0.011680878402055835)	(80, 0.011680878402055835)	(85, 0.011680878402055835)	(90, 0.011680878402055835)	(95, 0.011680878402055835)	(100, 0.011680878402055835)	(105, 0.011680878402055835)	(110, 0.011680878402055835)	(115, 0.011680878402055835)	(120, 0.011680878402055835)	(125, 0.016353229762878167)	(130, 0.02336175680411167)	(135, 0.02336175680411167)	(140, 0.02336175680411167)	(145, 0.025697932484522835)	(150, 0.04438733792781217)	(155, 0.20558345987618268)	(160, 0.5676906903399136)	(165, 0.5957247985048476)	(170, 0.5957247985048476)	(175, 0.5957247985048476)	(180, 0.5957247985048476)	(185, 0.5957247985048476)	(190, 0.5957247985048476)	(195, 0.5957247985048476)	(200, 0.5957247985048476)	(205, 0.5957247985048476)	(210, 0.5957247985048476)	(215, 0.5957247985048476)	(220, 0.5957247985048476)	(225, 0.5957247985048476)	(230, 0.5957247985048476)	(235, 0.5957247985048476)	(240, 0.5957247985048476)	(245, 0.5957247985048476)	(250, 0.5957247985048476)	(255, 0.5957247985048476)	(260, 0.5957247985048476)	(265, 0.5957247985048476)	(270, 0.5957247985048476)	(275, 0.5957247985048476)	(280, 0.5957247985048476)
Yell_July18_Site1J_S99_L001_R1 - polyg	(1, 1.1564069618035275)	(2, 1.1680878402055834)	(3, 1.1797687186076393)	(4, 1.1797687186076393)	(5, 1.1797687186076393)	(6, 1.1797687186076393)	(7, 1.1797687186076393)	(8, 1.1797687186076393)	(9, 1.1797687186076393)	(10, 1.1797687186076393)	(15, 1.1797687186076393)	(20, 1.1844410699684618)	(25, 1.1914495970096952)	(30, 1.1914495970096952)	(35, 1.1914495970096952)	(40, 1.1914495970096952)	(45, 1.1914495970096952)	(50, 1.1914495970096952)	(55, 1.1914495970096952)	(60, 1.1914495970096952)	(65, 1.1961219483705174)	(70, 1.2031304754117509)	(75, 1.2031304754117509)	(80, 1.2031304754117509)	(85, 1.2031304754117509)	(90, 1.2031304754117509)	(95, 1.2101390024529843)	(100, 1.2148113538138068)	(105, 1.2148113538138068)	(110, 1.2148113538138068)	(115, 1.2148113538138068)	(120, 1.2148113538138068)	(125, 1.2148113538138068)	(130, 1.2148113538138068)	(135, 1.2148113538138068)	(140, 1.2148113538138068)	(145, 1.2148113538138068)	(150, 1.2148113538138068)	(155, 1.2148113538138068)	(160, 1.2148113538138068)	(165, 1.2148113538138068)	(170, 1.2148113538138068)	(175, 1.2148113538138068)	(180, 1.2148113538138068)	(185, 1.2148113538138068)	(190, 1.2148113538138068)	(195, 1.2148113538138068)	(200, 1.2148113538138068)	(205, 1.2148113538138068)	(210, 1.2148113538138068)	(215, 1.2148113538138068)	(220, 1.2148113538138068)	(225, 1.2148113538138068)	(230, 1.2148113538138068)	(235, 1.2148113538138068)	(240, 1.2148113538138068)	(245, 1.2148113538138068)	(250, 1.2148113538138068)	(255, 1.2148113538138068)	(260, 1.2148113538138068)	(265, 1.2148113538138068)	(270, 1.2148113538138068)	(275, 1.2148113538138068)	(280, 1.2148113538138068)
Yell_July18_Site1J_S99_L001_R2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.007008527041233501)	(25, 0.011680878402055835)	(30, 0.011680878402055835)	(35, 0.011680878402055835)	(40, 0.011680878402055835)	(45, 0.05373204064945684)	(50, 0.22193668963906082)	(55, 0.22193668963906082)	(60, 0.22193668963906082)	(65, 0.22193668963906082)	(70, 0.22193668963906082)	(75, 0.22193668963906082)	(80, 0.22193668963906082)	(85, 0.22193668963906082)	(90, 0.22193668963906082)	(95, 0.22193668963906082)	(100, 0.22193668963906082)	(105, 0.22193668963906082)	(110, 0.22193668963906082)	(115, 0.22193668963906082)	(120, 0.22427286531947202)	(125, 0.23828991940193905)	(130, 0.24529844644317253)	(135, 0.24529844644317253)	(140, 0.24529844644317253)	(145, 0.252306973484406)	(150, 0.3317369466183857)	(155, 0.658801541875949)	(160, 1.343301016236421)	(165, 1.413386286648756)	(170, 1.413386286648756)	(175, 1.413386286648756)	(180, 1.413386286648756)	(185, 1.413386286648756)	(190, 1.413386286648756)	(195, 1.413386286648756)	(200, 1.413386286648756)	(205, 1.413386286648756)	(210, 1.413386286648756)	(215, 1.413386286648756)	(220, 1.413386286648756)	(225, 1.413386286648756)	(230, 1.413386286648756)	(235, 1.413386286648756)	(240, 1.413386286648756)	(245, 1.413386286648756)	(250, 1.413386286648756)	(255, 1.413386286648756)	(260, 1.413386286648756)	(265, 1.413386286648756)	(270, 1.413386286648756)	(275, 1.413386286648756)	(280, 1.413386286648756)
Yell_July18_Site1J_S99_L001_R2 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.011680878402055835)	(10, 0.02336175680411167)	(15, 0.02336175680411167)	(20, 0.02336175680411167)	(25, 0.02336175680411167)	(30, 0.02336175680411167)	(35, 0.02336175680411167)	(40, 0.02336175680411167)	(45, 0.02336175680411167)	(50, 0.02336175680411167)	(55, 0.02336175680411167)	(60, 0.02336175680411167)	(65, 0.02336175680411167)	(70, 0.02336175680411167)	(75, 0.02336175680411167)	(80, 0.02336175680411167)	(85, 0.02336175680411167)	(90, 0.032706459525756335)	(95, 0.0350426352061675)	(100, 0.0350426352061675)	(105, 0.0350426352061675)	(110, 0.0350426352061675)	(115, 0.0350426352061675)	(120, 0.04438733792781217)	(125, 0.04672351360822334)	(130, 0.05840439201027917)	(135, 0.07942997313397968)	(140, 0.11213643265973601)	(145, 0.14250671650508118)	(150, 0.15185141922672585)	(155, 0.15185141922672585)	(160, 0.1705408246700152)	(165, 0.19390258147412687)	(170, 0.19857493283494917)	(175, 0.21025581123700499)	(180, 0.22193668963906082)	(185, 0.24296227076276136)	(190, 0.2686602032472842)	(195, 0.2966943114122182)	(200, 0.31071136549468525)	(205, 0.31538371685550753)	(210, 0.3317369466183857)	(215, 0.3574348791029086)	(220, 0.38546898726784257)	(225, 0.504613946968812)	(230, 0.5256395280925126)	(235, 0.56068216329868)	(240, 0.6190865553089593)	(245, 0.6798271229996495)	(250, 0.7125335825254059)	(255, 0.7242144609274618)	(260, 0.7312229879686953)	(265, 0.754584744772807)	(270, 1.0839855157107816)	(275, 1.6166335708445274)	(280, 1.705408246700152)
Yell_July18_Site1J_S99_L001_R2 - polyg	(1, 0.6774909473192384)	(2, 1.0863216913911926)	(3, 1.0863216913911926)	(4, 1.0863216913911926)	(5, 1.0863216913911926)	(6, 1.0863216913911926)	(7, 1.0863216913911926)	(8, 1.0863216913911926)	(9, 1.0980025697932485)	(10, 1.0980025697932485)	(15, 1.102674921154071)	(20, 1.1096834481953042)	(25, 1.1096834481953042)	(30, 1.1096834481953042)	(35, 1.1096834481953042)	(40, 1.1096834481953042)	(45, 1.1096834481953042)	(50, 1.1143557995561266)	(55, 1.12136432659736)	(60, 1.12136432659736)	(65, 1.12136432659736)	(70, 1.12136432659736)	(75, 1.12136432659736)	(80, 1.12136432659736)	(85, 1.12136432659736)	(90, 1.12136432659736)	(95, 1.12136432659736)	(100, 1.12136432659736)	(105, 1.12136432659736)	(110, 1.12136432659736)	(115, 1.12136432659736)	(120, 1.12136432659736)	(125, 1.12136432659736)	(130, 1.12136432659736)	(135, 1.12136432659736)	(140, 1.133045204999416)	(145, 1.133045204999416)	(150, 1.133045204999416)	(155, 1.133045204999416)	(160, 1.133045204999416)	(165, 1.133045204999416)	(170, 1.133045204999416)	(175, 1.133045204999416)	(180, 1.133045204999416)	(185, 1.133045204999416)	(190, 1.133045204999416)	(195, 1.133045204999416)	(200, 1.133045204999416)	(205, 1.133045204999416)	(210, 1.133045204999416)	(215, 1.133045204999416)	(220, 1.133045204999416)	(225, 1.133045204999416)	(230, 1.133045204999416)	(235, 1.133045204999416)	(240, 1.133045204999416)	(245, 1.133045204999416)	(250, 1.133045204999416)	(255, 1.133045204999416)	(260, 1.133045204999416)	(265, 1.133045204999416)	(270, 1.133045204999416)	(275, 1.133045204999416)	(280, 1.133045204999416)
Yell_July18_Site1L_S101_L001_R1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.006024338326840436)	(20, 0.011647054098558176)	(25, 0.014056789429294347)	(30, 0.014056789429294347)	(35, 0.014056789429294347)	(40, 0.014056789429294347)	(45, 0.014056789429294347)	(50, 0.014056789429294347)	(55, 0.014056789429294347)	(60, 0.014056789429294347)	(65, 0.014056789429294347)	(70, 0.014056789429294347)	(75, 0.014056789429294347)	(80, 0.014056789429294347)	(85, 0.014056789429294347)	(90, 0.014056789429294347)	(95, 0.014056789429294347)	(100, 0.014056789429294347)	(105, 0.014056789429294347)	(110, 0.014056789429294347)	(115, 0.014056789429294347)	(120, 0.015261657094662434)	(125, 0.01967950520101209)	(130, 0.022089240531748263)	(135, 0.02369573075223904)	(140, 0.025302220972729828)	(145, 0.026507088638097913)	(150, 0.04136712317763765)	(155, 0.14458411984417047)	(160, 0.31447046066107076)	(165, 0.37270573115386163)	(170, 0.3815414273665609)	(175, 0.3815414273665609)	(180, 0.3815414273665609)	(185, 0.3815414273665609)	(190, 0.3815414273665609)	(195, 0.3815414273665609)	(200, 0.3815414273665609)	(205, 0.3815414273665609)	(210, 0.3815414273665609)	(215, 0.3815414273665609)	(220, 0.3815414273665609)	(225, 0.3815414273665609)	(230, 0.3815414273665609)	(235, 0.3815414273665609)	(240, 0.3815414273665609)	(245, 0.3815414273665609)	(250, 0.3815414273665609)	(255, 0.3815414273665609)	(260, 0.3815414273665609)	(265, 0.3815414273665609)	(270, 0.3815414273665609)	(275, 0.3815414273665609)	(280, 0.3815414273665609)
Yell_July18_Site1L_S101_L001_R2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.006024338326840436)	(20, 0.010442186433190087)	(25, 0.012048676653680871)	(30, 0.012048676653680871)	(35, 0.012048676653680871)	(40, 0.012048676653680871)	(45, 0.012048676653680871)	(50, 0.012048676653680871)	(55, 0.012048676653680871)	(60, 0.012048676653680871)	(65, 0.012048676653680871)	(70, 0.012048676653680871)	(75, 0.012048676653680871)	(80, 0.012048676653680871)	(85, 0.012048676653680871)	(90, 0.012048676653680871)	(95, 0.012048676653680871)	(100, 0.012048676653680871)	(105, 0.012048676653680871)	(110, 0.012048676653680871)	(115, 0.012048676653680871)	(120, 0.012851921763926263)	(125, 0.014056789429294347)	(130, 0.014056789429294347)	(135, 0.014056789429294347)	(140, 0.015261657094662437)	(145, 0.016466524760030524)	(150, 0.024498975862484437)	(155, 0.08715209446162496)	(160, 0.19117233623840316)	(165, 0.2281216113096911)	(170, 0.23294108197116353)	(175, 0.23294108197116353)	(180, 0.23294108197116353)	(185, 0.23294108197116353)	(190, 0.23294108197116353)	(195, 0.23294108197116353)	(200, 0.23294108197116353)	(205, 0.23294108197116353)	(210, 0.23294108197116353)	(215, 0.23294108197116353)	(220, 0.23294108197116353)	(225, 0.23294108197116353)	(230, 0.23294108197116353)	(235, 0.23294108197116353)	(240, 0.23294108197116353)	(245, 0.23294108197116353)	(250, 0.23294108197116353)	(255, 0.23294108197116353)	(260, 0.23294108197116353)	(265, 0.23294108197116353)	(270, 0.23294108197116353)	(275, 0.23294108197116353)	(280, 0.2329410819711635)
Yell_July18_Site1L_S101_L001_R2 - polya	(1, 0.0020081127756134787)	(2, 0.0020081127756134787)	(3, 0.0020081127756134787)	(4, 0.0020081127756134787)	(5, 0.0020081127756134787)	(6, 0.0020081127756134787)	(7, 0.004016225551226957)	(8, 0.004016225551226957)	(9, 0.004016225551226957)	(10, 0.004016225551226957)	(15, 0.0052210932165950436)	(20, 0.008032451102453915)	(25, 0.008032451102453915)	(30, 0.008032451102453915)	(35, 0.008032451102453915)	(40, 0.008032451102453915)	(45, 0.008032451102453915)	(50, 0.008032451102453915)	(55, 0.008032451102453915)	(60, 0.009237318767822002)	(65, 0.011245431543435477)	(70, 0.014458411984417047)	(75, 0.01606490220490783)	(80, 0.01606490220490783)	(85, 0.017269769870275915)	(90, 0.0188762600907667)	(95, 0.020081127756134784)	(100, 0.022892485641993657)	(105, 0.02610546608297522)	(110, 0.028113578858588693)	(115, 0.028113578858588693)	(120, 0.028113578858588693)	(125, 0.03253142696493835)	(130, 0.043375235953251136)	(135, 0.04698983894935539)	(140, 0.04939957428009158)	(145, 0.05020281939033696)	(150, 0.05020281939033696)	(155, 0.05140768705570505)	(160, 0.05743202538254548)	(165, 0.061448250933772444)	(170, 0.06385798626450861)	(175, 0.06626772159524479)	(180, 0.06707096670549018)	(185, 0.06827583437085827)	(190, 0.0743001726976987)	(195, 0.07630828547331218)	(200, 0.08193100124502992)	(205, 0.0827342463552753)	(210, 0.0843407365757661)	(215, 0.08594722679625688)	(220, 0.09478292300895616)	(225, 0.10161050644604201)	(230, 0.10642997710751437)	(235, 0.1120526928792321)	(240, 0.11807703120607253)	(245, 0.12450299208803565)	(250, 0.1301257078597534)	(255, 0.13574842363147116)	(260, 0.14378087473392503)	(265, 0.1481987228402747)	(270, 0.20522912566769752)	(275, 0.31125748022008914)	(280, 0.33133860797622394)
Yell_July18_Site1L_S101_L001_R2 - polyg	(1, 0.15060845817101087)	(2, 0.26507088638097914)	(3, 0.26507088638097914)	(4, 0.26507088638097914)	(5, 0.26507088638097914)	(6, 0.26507088638097914)	(7, 0.26507088638097914)	(8, 0.26507088638097914)	(9, 0.2670789991565926)	(10, 0.267882244266838)	(15, 0.27230009237318764)	(20, 0.2731033374834331)	(25, 0.2731033374834331)	(30, 0.2731033374834331)	(35, 0.2731033374834331)	(40, 0.2731033374834331)	(45, 0.2731033374834331)	(50, 0.2731033374834331)	(55, 0.2731033374834331)	(60, 0.2731033374834331)	(65, 0.2731033374834331)	(70, 0.2731033374834331)	(75, 0.2731033374834331)	(80, 0.2731033374834331)	(85, 0.2731033374834331)	(90, 0.2731033374834331)	(95, 0.2731033374834331)	(100, 0.2731033374834331)	(105, 0.2731033374834331)	(110, 0.2731033374834331)	(115, 0.2731033374834331)	(120, 0.2731033374834331)	(125, 0.2731033374834331)	(130, 0.2731033374834331)	(135, 0.2731033374834331)	(140, 0.2731033374834331)	(145, 0.2731033374834331)	(150, 0.2731033374834331)	(155, 0.2731033374834331)	(160, 0.2731033374834331)	(165, 0.2731033374834331)	(170, 0.2731033374834331)	(175, 0.2731033374834331)	(180, 0.2731033374834331)	(185, 0.2731033374834331)	(190, 0.2731033374834331)	(195, 0.2731033374834331)	(200, 0.2731033374834331)	(205, 0.2739065825936785)	(210, 0.27511145025904654)	(215, 0.27511145025904654)	(220, 0.27511145025904654)	(225, 0.27711956303466)	(230, 0.27711956303466)	(235, 0.28274227880637776)	(240, 0.2891682396883409)	(245, 0.2915779750190771)	(250, 0.29519257801518134)	(255, 0.29519257801518134)	(260, 0.29519257801518134)	(265, 0.29519257801518134)	(270, 0.29519257801518134)	(275, 0.29519257801518134)	(280, 0.29519257801518134)
Yell_July18_Site1U_S114_L001_R1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.004233799835352228)	(20, 0.20087028107726684)	(25, 0.3481124309067388)	(30, 0.3570504527813713)	(35, 0.35846171939315535)	(40, 0.3664588968599318)	(45, 0.36692931906385984)	(50, 0.36692931906385984)	(55, 0.3678701634717159)	(60, 0.3735152299188521)	(65, 0.37633776314242035)	(70, 0.37916029636598847)	(75, 0.3819828295895566)	(80, 0.3833940962013407)	(85, 0.38386451840526875)	(90, 0.38809831824062097)	(95, 0.3956250735034693)	(100, 0.3998588733388216)	(105, 0.40032929554274965)	(110, 0.4022109843584617)	(115, 0.4050335175820298)	(120, 0.406915206397742)	(125, 0.4111490062330942)	(130, 0.4158532282723744)	(135, 0.4163236504763025)	(140, 0.4182053392920146)	(145, 0.4191461836998706)	(150, 0.42573209455486305)	(155, 0.4370222274491356)	(160, 0.4483123603434082)	(165, 0.45583911560625656)	(170, 0.4610137598494649)	(175, 0.46289544866517696)	(180, 0.463365870869105)	(185, 0.46807009290838525)	(190, 0.46807009290838525)	(195, 0.46807009290838525)	(200, 0.4718334705398095)	(205, 0.47277431494766553)	(210, 0.4741855815594496)	(215, 0.47512642596730564)	(220, 0.47606727037516167)	(225, 0.47747853698694576)	(230, 0.47747853698694576)	(235, 0.47747853698694576)	(240, 0.47747853698694576)	(245, 0.47747853698694576)	(250, 0.47747853698694576)	(255, 0.47747853698694576)	(260, 0.47747853698694576)	(265, 0.47747853698694576)	(270, 0.47747853698694576)	(275, 0.47747853698694576)	(280, 0.47747853698694576)
