Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
Yell_July18_Site1J_S99_L001_R1	1.2148113538138068	31.561733442354864
Yell_July18_Site1J_S99_L001_R2	2.2310477747926645	34.481953042868824
Yell_July18_Site1L_S101_L001_R1	11.277561347845296	53.251134583718226
Yell_July18_Site1L_S101_L001_R2	20.74782119763846	45.74480902847503
Yell_July18_Site1U_S114_L001_R1	1.7923085969657768	27.747853698694577
Yell_July18_Site1U_S114_L001_R2	1.2066329530753852	20.484534870045866
Yell_July18_Site1a_S83_L001_R1	6.446839034942818	60.42242748720363
Yell_July18_Site1a_S83_L001_R2	17.07993718348487	57.35174985630948
Yell_July18_Site1b_S84_L001_R1	6.041849185489912	52.03278355489532
Yell_July18_Site1b_S84_L001_R2	14.950672304117624	47.12286849756853
Yell_July18_Site1bb_S139_L001_R1	8.044655951632695	56.13301008649846
Yell_July18_Site1bb_S139_L001_R2	18.6345814252791	52.699410373828975
Yell_July18_Site1c_S85_L001_R1	8.936289731146722	53.47184296347153
Yell_July18_Site1c_S85_L001_R2	19.54764616848971	46.244168084010795
Yell_July18_Site1cc_S140_L001_R1	7.2439668898851535	57.73209264508261
Yell_July18_Site1cc_S140_L001_R2	20.404164737501834	47.837735593373466
Yell_July18_Site1d_S86_L001_R1	9.685892274925626	53.59530865466422
Yell_July18_Site1d_S86_L001_R2	16.457965751351843	47.57067566564458
Yell_July18_Site1dd_S141_L001_R1	5.698908004853312	55.58037519833245
Yell_July18_Site1dd_S141_L001_R2	19.903244874467223	44.85486731170084
Yell_July18_Site1e_S91_L001_R1	5.92469545957918	47.16956550061886
Yell_July18_Site1e_S91_L001_R2	12.592013549605888	41.681323692267604
Yell_July18_Site1ee_S142_L001_R1	3.341036098656773	38.152625231313124
Yell_July18_Site1ee_S142_L001_R2	3.710216444636758	29.951942109575675
Yell_July18_Site1f_S92_L001_R1	7.483959312750185	67.88845917886594
Yell_July18_Site1f_S92_L001_R2	14.97029125752887	68.21249292447234
Yell_July18_Site1g_S93_L001_R1	9.698931818622414	46.57639144679449
Yell_July18_Site1g_S93_L001_R2	19.283484869046003	40.190082003760935
