Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Yell_July18_Site1J_S99_L001_R1	(1.0, 43.99018806214227)	(2.0, 7.429038663707511)	(3.0, 4.06494568391543)	(4.0, 3.1304754117509637)	(5.0, 3.2706459525756335)	(6.0, 1.752131760308375)	(7.0, 2.3712183156173343)	(8.0, 1.2148113538138068)	(9.0, 1.0512790561850252)	('>10', 28.466300665810067)	('>50', 2.044153720359771)	('>100', 1.2148113538138068)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Yell_July18_Site1J_S99_L001_R2	(1.0, 36.128956897558695)	(2.0, 8.527041233500759)	(3.0, 4.380329400770938)	(4.0, 3.5509870342249736)	(5.0, 2.745006424483121)	(6.0, 2.4529844644317254)	(7.0, 3.3524121013900245)	(8.0, 2.1492816259782734)	(9.0, 2.1025581123700503)	('>10', 24.88027099637893)	('>50', 5.069501226492233)	('>100', 4.6606704824202785)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Yell_July18_Site1L_S101_L001_R1	(1.0, 12.062733443110165)	(2.0, 3.152737057713161)	(3.0, 2.036226354472067)	(4.0, 1.3815815896220731)	(5.0, 1.124543154343548)	(6.0, 0.9397967789871078)	(7.0, 0.6747258926061287)	(8.0, 0.7229205992208523)	(9.0, 0.83135868910398)	('>10', 13.04670870316077)	('>50', 7.329611630989197)	('>100', 12.813767621189607)	('>500', 6.831599662637054)	('>1k', 25.774127474999)	('>5k', 11.277561347845296)	('>10k+', 0.0)
Yell_July18_Site1L_S101_L001_R2	(1.0, 12.072774006988233)	(2.0, 2.8675850435760473)	(3.0, 1.66271737820796)	(4.0, 1.397646491826981)	(5.0, 1.1446242820996826)	(6.0, 1.0723322221775975)	(7.0, 0.6325555243182457)	(8.0, 0.7550504036306679)	(9.0, 0.7952126591429375)	('>10', 11.307683039479498)	('>50', 4.118639302783245)	('>100', 12.235431141812924)	('>500', 5.148801156672959)	('>1k', 12.839873087272583)	('>5k', 11.201253062371983)	('>10k+', 20.74782119763846)
Yell_July18_Site1U_S114_L001_R1	(1.0, 43.361166647065744)	(2.0, 7.333882159237916)	(3.0, 2.984828883923321)	(4.0, 1.8910972597906621)	(5.0, 1.4112666117840762)	(6.0, 0.9314359637774904)	(7.0, 0.9220275196989298)	(8.0, 0.6585910854992356)	(9.0, 0.444548982711984)	('>10', 11.84523109490768)	('>50', 3.474067976008468)	('>100', 15.961425379277902)	('>500', 8.780430436316594)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Yell_July18_Site1U_S114_L001_R2	(1.0, 48.71221921674703)	(2.0, 6.473009526049629)	(3.0, 2.95660355168764)	(4.0, 1.7876043749264965)	(5.0, 1.458308832176879)	(6.0, 1.1007879571915795)	(7.0, 0.9384922968364107)	(8.0, 0.9220275196989298)	(9.0, 0.8044219687169235)	('>10', 14.143243561096083)	('>50', 6.571798188874515)	('>100', 12.924850052922498)	('>500', 1.2066329530753852)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Yell_July18_Site1a_S83_L001_R1	(1.0, 6.755943356519929)	(2.0, 2.1940523440788193)	(3.0, 1.4676798168002498)	(4.0, 1.1549549468005667)	(5.0, 0.9187141622277234)	(6.0, 0.8200542177126281)	(7.0, 0.6969555713451695)	(8.0, 0.6987658455564556)	(9.0, 0.5539439086535634)	('>10', 8.849072913319544)	('>50', 4.428383289358755)	('>100', 9.07399948407185)	('>500', 7.02386393979028)	('>1k', 26.30237915288218)	('>5k', 16.25399957458556)	('>10k+', 12.807237476296724)
Yell_July18_Site1a_S83_L001_R2	(1.0, 5.958517566448378)	(2.0, 1.8030331144410099)	(3.0, 1.1499766927195296)	(4.0, 0.7784179108530465)	(5.0, 0.6856413575246311)	(6.0, 0.5349360294350587)	(7.0, 0.4530211213743602)	(8.0, 0.41636306859581557)	(9.0, 0.33806870895768937)	('>10', 6.445481329284353)	('>50', 3.2168572734554965)	('>100', 6.919773172641326)	('>500', 4.936617774177344)	('>1k', 16.881712157349035)	('>5k', 6.536447608401483)	('>10k+', 42.94513511434144)
Yell_July18_Site1b_S84_L001_R1	(1.0, 10.919386990693127)	(2.0, 3.448494775200295)	(3.0, 2.1845122462194797)	(4.0, 1.6328292639571351)	(5.0, 1.2125598344316206)	(6.0, 0.9522721212813773)	(7.0, 0.8443479475361546)	(8.0, 0.7821328356124378)	(9.0, 0.7313449891440978)	('>10', 9.96267093284577)	('>50', 4.236341243540421)	('>100', 19.513960309297985)	('>500', 7.2753590065897225)	('>1k', 20.550667225332976)	('>5k', 15.753120278317398)	('>10k+', 0.0)
Yell_July18_Site1b_S84_L001_R2	(1.0, 11.065402049289604)	(2.0, 3.005370814764027)	(3.0, 1.7997943092218032)	(4.0, 1.17065986109524)	(5.0, 0.9744918041112762)	(6.0, 0.8646630861234907)	(7.0, 0.6443708020670654)	(8.0, 0.6145329422669156)	(9.0, 0.5427951091303851)	('>10', 8.790741375588821)	('>50', 4.372198732843231)	('>100', 12.510951129394735)	('>500', 6.140250638022321)	('>1k', 17.59608425703729)	('>5k', 4.905471120760803)	('>10k+', 25.00222196828299)
Yell_July18_Site1bb_S139_L001_R1	(1.0, 8.005148005148005)	(2.0, 2.4147735775642754)	(3.0, 1.4869354404238124)	(4.0, 1.1612941845499987)	(5.0, 1.0445661608452306)	(6.0, 0.9302325581395349)	(7.0, 0.7500523779593548)	(8.0, 0.5794498817754632)	(9.0, 0.5710694082787106)	('>10', 10.849720152045734)	('>50', 4.156714854389273)	('>100', 10.436682529705786)	('>500', 4.068719882673371)	('>1k', 30.462422555445812)	('>5k', 7.7082398012630575)	('>10k+', 15.373978629792584)
