Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Yell_July18_Site1J_S99_L001_R1	Yell_July18_Site1J_S99_L001_R1.fastp-trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8561.0	2.3 Mbp	0.0	42-291	37.0	52.902698282910876	278.8421913327882	291	pass	fail	warn	pass	fail	fail	pass	warn	warn	fail	pass
Yell_July18_Site1J_S99_L001_R2	Yell_July18_Site1J_S99_L001_R2.fastp-trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8561.0	2.3 Mbp	0.0	42-291	37.0	46.116107931316435	279.0723046373087	291	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
Yell_July18_Site1L_S101_L001_R1	Yell_July18_Site1L_S101_L001_R1.fastp-trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49798.0	9.4 Mbp	0.0	42-291	45.0	16.115105024298167	190.08040483553557	157	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
Yell_July18_Site1L_S101_L001_R2	Yell_July18_Site1L_S101_L001_R2.fastp-trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49798.0	9.4 Mbp	0.0	42-291	45.0	15.775733965219487	190.16143218603156	157	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
Yell_July18_Site1U_S114_L001_R1	Yell_July18_Site1U_S114_L001_R1.fastp-trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42515.0	9.5 Mbp	0.0	41-291	37.0	49.8882747265671	225.5639656591791	291	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
Yell_July18_Site1U_S114_L001_R2	Yell_July18_Site1U_S114_L001_R2.fastp-trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42515.0	9.6 Mbp	0.0	41-291	37.0	55.08408796895213	225.80079971774668	291	pass	fail	warn	pass	fail	fail	pass	warn	warn	fail	pass
Yell_July18_Site1a_S83_L001_R1	Yell_July18_Site1a_S83_L001_R1.fastp-trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	220961.0	36.5 Mbp	0.0	41-291	47.0	9.78905779752988	165.39192436674344	157	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
Yell_July18_Site1a_S83_L001_R2	Yell_July18_Site1a_S83_L001_R2.fastp-trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	220961.0	36.5 Mbp	0.0	34-291	48.0	8.23584252424636	164.4106086594467	154	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
Yell_July18_Site1b_S84_L001_R1	Yell_July18_Site1b_S84_L001_R1.fastp-trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	157518.0	30.6 Mbp	0.0	41-291	44.0	15.155093386152693	194.78523724272782	157	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
Yell_July18_Site1b_S84_L001_R2	Yell_July18_Site1b_S84_L001_R2.fastp-trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	157518.0	30.6 Mbp	0.0	30-291	44.0	14.607219492375476	194.08237471273125	154	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
